level,n1,events1,risk1,n2,events2,risk2,n0,events0,risk0,rr1,lcl1,ucl1,rr2,lcl2,ucl2
Overall,22150,1198,5.4 (5.1 - 5.7),6063,539,8.9 (8.2 - 9.6),20400,1634,8.0 (7.6 - 8.4),0.6752448315,0.6282848196,0.7257147845,1.1098883953,1.0112846728,1.2181063188
Sex,,,,,,,,,,,,,,,
Female,10143,472,4.7 (4.2 - 5.1),2811,214,7.6 (6.6 - 8.6),9243,681,7.4 (6.8 - 7.9),0.6315992369,0.5635760174,0.70783281,1.0332817703,0.8914193165,1.1977205307
Male,12007,726,6.0 (5.6 - 6.5),3252,325,10.0 (9.0 - 11.0),11157,953,8.5 (8.0 - 9.1),0.7078751569,0.6449802742,0.7769031982,1.170004024,1.0380243021,1.3187643232
Age,,,,,,,,,,,,,,,
<65 years,8918,67,0.8 (0.6 - 0.9),2435,72,3.0 (2.3 - 3.6),8182,56,0.7 (0.5 - 0.9),1.0976876089,0.7707482829,1.5633094663,4.3202106781,3.0557731973,6.1078552294
>65 years,13232,1131,8.5 (8.1 - 9.0),3628,467,12.9 (11.8 - 14.0),12218,1578,12.9 (12.3 - 13.5),0.6618052925,0.6156503009,0.7114205004,0.9966501216,0.9050868463,1.0974764124
Heart failure,,,,,,,,,,,,,,,
No,19974,803,4.0 (3.7 - 4.3),5466,396,7.2 (6.6 - 7.9),18284,1169,6.4 (6.0 - 6.7),0.6287929026,0.5760746955,0.6863355004,1.1331365481,1.0152230432,1.2647451663
Yes,2176,395,18.2 (16.5 - 19.8),597,143,24.0 (20.5 - 27.4),2116,465,22.0 (20.2 - 23.7),0.8260398649,0.7326145435,0.9313790785,1.0899947571,0.9251849779,1.2841632744
Hypertension,,,,,,,,,,,,,,,
No,6568,246,3.7 (3.3 - 4.2),1820,127,7.0 (5.8 - 8.1),6114,366,6.0 (5.4 - 6.6),0.6256723175,0.5343413806,0.7326137617,1.1656727897,0.9592064018,1.4165804671
Yes,15582,952,6.1 (5.7 - 6.5),4243,412,9.7 (8.8 - 10.6),14286,1268,8.9 (8.4 - 9.3),0.6883434229,0.6348319922,0.7463654538,1.0939956017,0.9842305597,1.2160020483
